"","country","iso3c","WHO_region","income_g","year","pop","pop_name"
"63","Georgia","GEO","EURO","Upper middle income",2022,252515,"6-59mo"
"64","Germany","DEU","EURO","High income",2022,3963211,"6-59mo"
"65","Ghana","GHA","AFRO","Lower middle income",2022,4204477.5,"6-59mo"
"66","Greece","GRC","EURO","High income",2022,417714.5,"6-59mo"
"67","Grenada","GRD","AMRO","Upper middle income",2022,6985.5,"6-59mo"
"68","Guatemala","GTM","AMRO","Upper middle income",2022,1911305.5,"6-59mo"
"69","Guinea","GIN","AFRO","Lower middle income",2022,2166367.5,"6-59mo"
"70","Guinea-Bissau","GNB","AFRO","Low income",2022,294521,"6-59mo"
"71","Guyana","GUY","AMRO","High income",2022,83242.5,"6-59mo"
"72","Haiti","HTI","AMRO","Lower middle income",2022,1240434.5,"6-59mo"
"73","Honduras","HND","AMRO","Lower middle income",2022,1130878.5,"6-59mo"
"74","Hungary","HUN","EURO","High income",2022,466950.5,"6-59mo"
"75","Iceland","ISL","EURO","High income",2022,22916,"6-59mo"
"76","India","IND","SEARO","Lower middle income",2022,115769541,"6-59mo"
"77","Indonesia","IDN","SEARO","Upper middle income",2022,22488310.5,"6-59mo"
"78","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2022,6478845.5,"6-59mo"
"79","Iraq","IRQ","EMRO","Upper middle income",2022,5514478,"6-59mo"
"80","Ireland","IRL","EURO","High income",2022,299501.5,"6-59mo"
"81","Israel","ISR","EURO","High income",2022,877830,"6-59mo"
"82","Italy","ITA","EURO","High income",2022,2120216,"6-59mo"
"83","Jamaica","JAM","AMRO","Upper middle income",2022,167373,"6-59mo"
"84","Japan","JPN","WPRO","High income",2022,4294069.5,"6-59mo"
"85","Jordan","JOR","EMRO","Lower middle income",2022,1166809,"6-59mo"
"86","Kazakhstan","KAZ","EURO","Upper middle income",2022,2124540.5,"6-59mo"
"87","Kenya","KEN","AFRO","Lower middle income",2022,6981963,"6-59mo"
"88","Kiribati","KIR","WPRO","Lower middle income",2022,16215,"6-59mo"
"89","Korea, Republic of","KOR","WPRO","High income",2022,1463191,"6-59mo"
"90","Kuwait","KWT","EMRO","High income",2022,271172.5,"6-59mo"
"91","Kyrgyzstan","KGZ","EURO","Lower middle income",2022,803071.5,"6-59mo"
"92","Lao People's Democratic Republic","LAO","WPRO","Lower middle income",2022,799582.5,"6-59mo"
"93","Latvia","LVA","EURO","High income",2022,91657.5,"6-59mo"
"94","Lebanon","LBN","EMRO","Lower middle income",2022,456425,"6-59mo"
"95","Lesotho","LSO","AFRO","Lower middle income",2022,270301.5,"6-59mo"
"96","Liberia","LBR","AFRO","Low income",2022,764873.5,"6-59mo"
"97","Libya","LBY","EMRO","Upper middle income",2022,656921,"6-59mo"
"98","Lithuania","LTU","EURO","High income",2022,132148,"6-59mo"
"99","Luxembourg","LUX","EURO","High income",2022,33895,"6-59mo"
"100","Macedonia, the former Yugoslav Republic of","MKD","EURO","Upper middle income",2022,98512.5,"6-59mo"
"101","Madagascar","MDG","AFRO","Low income",2022,4509734.5,"6-59mo"
"102","Malawi","MWI","AFRO","Low income",2022,3031170.5,"6-59mo"
"103","Malaysia","MYS","WPRO","Upper middle income",2022,2359932.5,"6-59mo"
"104","Maldives","MDV","SEARO","Upper middle income",2022,31642,"6-59mo"
"105","Mali","MLI","AFRO","Low income",2022,4079299,"6-59mo"
"106","Malta","MLT","EURO","High income",2022,22657.5,"6-59mo"
"107","Mauritania","MRT","AFRO","Lower middle income",2022,785270.5,"6-59mo"
"108","Mauritius","MUS","AFRO","Upper middle income",2022,60933.5,"6-59mo"
"109","Mexico","MEX","AMRO","Upper middle income",2022,10375479.5,"6-59mo"
"110","Micronesia, Federated States of","FSM","WPRO","Lower middle income",2022,12136.5,"6-59mo"
"111","Moldova, Republic of","MDA","EURO","Upper middle income",2022,185336.5,"6-59mo"
"112","Mongolia","MNG","WPRO","Lower middle income",2022,364182,"6-59mo"
"113","Montenegro","MNE","EURO","Upper middle income",2022,35986.5,"6-59mo"
"114","Morocco","MAR","EMRO","Lower middle income",2022,3210598,"6-59mo"
"115","Mozambique","MOZ","AFRO","Low income",2022,5547107,"6-59mo"
"116","Myanmar","MMR","SEARO","Lower middle income",2022,4463439,"6-59mo"
"117","Namibia","NAM","AFRO","Upper middle income",2022,408907,"6-59mo"
"118","Nepal","NPL","SEARO","Lower middle income",2022,2806206.5,"6-59mo"
"119","Netherlands","NLD","EURO","High income",2022,885957.5,"6-59mo"
"120","New Zealand","NZL","WPRO","High income",2022,299235,"6-59mo"
"121","Nicaragua","NIC","AMRO","Lower middle income",2022,660178.5,"6-59mo"
"122","Niger","NER","AFRO","Low income",2022,4564725,"6-59mo"
"123","Nigeria","NGA","AFRO","Lower middle income",2022,33327207,"6-59mo"
"124","Norway","NOR","EURO","High income",2022,278902.5,"6-59mo"
"125","Oman","OMN","EMRO","High income",2022,435437,"6-59mo"
"126","Pakistan","PAK","EMRO","Lower middle income",2022,31524855.5,"6-59mo"
"127","Panama","PAN","AMRO","High income",2022,365940,"6-59mo"
"128","Papua New Guinea","PNG","SEARO","Lower middle income",2022,1222355.5,"6-59mo"
"129","Paraguay","PRY","AMRO","Upper middle income",2022,681706.5,"6-59mo"
"130","Peru","PER","AMRO","Upper middle income",2022,2697090,"6-59mo"
"131","Philippines","PHL","WPRO","Lower middle income",2022,10098659,"6-59mo"
"132","Poland","POL","EURO","High income",2022,1821562,"6-59mo"
"133","Portugal","PRT","EURO","High income",2022,426770.5,"6-59mo"
"134","Qatar","QAT","EMRO","High income",2022,155426.5,"6-59mo"
"135","Romania","ROU","EURO","High income",2022,975941.5,"6-59mo"
"136","Russian Federation","RUS","EURO","Upper middle income",2022,7541062,"6-59mo"
"137","Rwanda","RWA","AFRO","Low income",2022,1862547.5,"6-59mo"
"138","Saint Lucia","LCA","AMRO","Upper middle income",2022,10303,"6-59mo"
"139","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2022,6591,"6-59mo"
"140","Samoa","WSM","WPRO","Lower middle income",2022,28899,"6-59mo"
"141","Sao Tome And Principe","STP","AFRO","Lower middle income",2022,30109,"6-59mo"
"142","Saudi Arabia","SAU","EMRO","High income",2022,2614981.5,"6-59mo"
"143","Senegal","SEN","AFRO","Lower middle income",2022,2424217,"6-59mo"
"144","Serbia","SRB","EURO","Upper middle income",2022,318877,"6-59mo"
"145","Seychelles","SYC","AFRO","High income",2022,8797,"6-59mo"
"146","Sierra Leone","SLE","AFRO","Low income",2022,1153474,"6-59mo"
"147","Singapore","SGP","WPRO","High income",2022,224899.5,"6-59mo"
"148","Slovakia","SVK","EURO","High income",2022,288221,"6-59mo"
"149","Slovenia","SVN","EURO","High income",2022,98100.5,"6-59mo"
"150","Solomon Islands","SLB","WPRO","Lower middle income",2022,103127,"6-59mo"
"151","Somalia","SOM","EMRO","Low income",2022,3342170,"6-59mo"
"152","South Africa","ZAF","AFRO","Upper middle income",2022,5829285,"6-59mo"
"153","South Sudan","SSD","AFRO","Low income",2022,1429247,"6-59mo"
"154","Spain","ESP","EURO","High income",2022,1811811,"6-59mo"
"155","Sri Lanka","LKA","SEARO","Lower middle income",2022,1647731,"6-59mo"
"156","Sudan","SDN","EMRO","Low income",2022,7605322,"6-59mo"
"157","Suriname","SUR","AMRO","Upper middle income",2022,53340.5,"6-59mo"
"158","Sweden","SWE","EURO","High income",2022,582404,"6-59mo"
"159","Switzerland","CHE","EURO","High income",2022,437339,"6-59mo"
"160","Syrian Arab Republic","SYR","EMRO","Low income",2022,2122848.5,"6-59mo"
"161","Tajikistan","TJK","EURO","Lower middle income",2022,1329868,"6-59mo"
"162","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2022,10595923,"6-59mo"
"163","Thailand","THA","SEARO","Upper middle income",2022,3187635,"6-59mo"
"164","Timor-Leste","TLS","SEARO","Lower middle income",2022,162124.5,"6-59mo"
"165","Togo","TGO","AFRO","Low income",2022,1327238,"6-59mo"
"166","Tonga","TON","WPRO","Upper middle income",2022,11839.5,"6-59mo"
"167","Trinidad and Tobago","TTO","AMRO","High income",2022,86018.5,"6-59mo"
"168","Tunisia","TUN","EMRO","Lower middle income",2022,938973.5,"6-59mo"
"169","Turkey","TUR","EURO","Upper middle income",2022,5988450,"6-59mo"
"170","Turkmenistan","TKM","EURO","Upper middle income",2022,814469.5,"6-59mo"
"171","Uganda","UGA","AFRO","Low income",2022,7786402,"6-59mo"
"172","Ukraine","UKR","EURO","Lower middle income",2022,1555464,"6-59mo"
"173","United Arab Emirates","ARE","EMRO","High income",2022,563781,"6-59mo"
"174","United Kingdom","GBR","EURO","High income",2022,3662706.5,"6-59mo"
"175","United States of America","USA","AMRO","High income",2022,18785092.5,"6-59mo"
"176","Uruguay","URY","AMRO","High income",2022,183057,"6-59mo"
"177","Uzbekistan","UZB","EURO","Lower middle income",2022,4133426,"6-59mo"
"178","Vanuatu","VUT","WPRO","Lower middle income",2022,43864,"6-59mo"
"179","Venezuela","VEN","AMRO","Upper middle income",2022,2188211,"6-59mo"
"180","Viet Nam","VNM","WPRO","Lower middle income",2022,7311528,"6-59mo"
"181","Yemen","YEM","EMRO","Low income",2022,6132510,"6-59mo"
"182","Zambia","ZMB","AFRO","Lower middle income",2022,3100767.5,"6-59mo"
"183","Zimbabwe","ZWE","AFRO","Lower middle income",2022,2278428.5,"6-59mo"
"184","Andorra","AND","EURO","High income",2022,2396.5,"6-59mo"
"185","Antigua And Barbuda","ATG","AMRO","High income",2022,5318,"6-59mo"
"186","Cook Islands","COK","WPRO","High income",2022,1063,"6-59mo"
"187","Marshall Islands","MHL","WPRO","Upper middle income",2022,4447,"6-59mo"
"188","Monaco","MCO","EURO","High income",2022,1794,"6-59mo"
"189","Nauru","NRU","WPRO","High income",2022,1489.5,"6-59mo"
"190","Niue","NIU",NA,"#/NA",2022,122.5,"6-59mo"
"191","Palau","PLW","WPRO","High income",2022,998,"6-59mo"
"192","Saint Kitts and Nevis","KNA","AMRO","High income",2022,2882,"6-59mo"
"193","San Marino","SMR","EURO","High income",2022,1193,"6-59mo"
"194","Tuvalu","TUV","WPRO","Upper middle income",2022,1117.5,"6-59mo"
"195","Afghanistan","AFG","EMRO","Low income",2023,6656181,"6-59mo"
"196","Albania","ALB","EURO","Upper middle income",2023,145074.5,"6-59mo"
"197","Algeria","DZA","AFRO","Lower middle income",2023,4753144,"6-59mo"
"198","Angola","AGO","AFRO","Lower middle income",2023,6219256.5,"6-59mo"
"199","Argentina","ARG","AMRO","Upper middle income",2023,2750629.5,"6-59mo"
"200","Armenia","ARM","EURO","Upper middle income",2023,177296,"6-59mo"
"201","Australia","AUS","WPRO","High income",2023,1526420.5,"6-59mo"
"202","Austria","AUT","EURO","High income",2023,425843.5,"6-59mo"
"203","Azerbaijan","AZE","EURO","Upper middle income",2023,674785,"6-59mo"
"204","Bahamas","BHS","AMRO","High income",2023,21817.5,"6-59mo"
"205","Bahrain","BHR","EMRO","High income",2023,94701,"6-59mo"
"206","Bangladesh","BGD","SEARO","Lower middle income",2023,16505069,"6-59mo"
"207","Barbados","BRB","AMRO","High income",2023,15794,"6-59mo"
"208","Belarus","BLR","EURO","Upper middle income",2023,399409,"6-59mo"
"209","Belgium","BEL","EURO","High income",2023,582809,"6-59mo"
"210","Belize","BLZ","AMRO","Upper middle income",2023,35738,"6-59mo"
"211","Benin","BEN","AFRO","Lower middle income",2023,2176442.5,"6-59mo"
"212","Bhutan","BTN","SEARO","Lower middle income",2023,48329,"6-59mo"
"213","Bolivia","BOL","AMRO","Lower middle income",2023,1250929,"6-59mo"
"214","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2023,130435.5,"6-59mo"
"215","Botswana","BWA","AFRO","Upper middle income",2023,293658.5,"6-59mo"
"216","Brazil","BRA","AMRO","Upper middle income",2023,13360848.5,"6-59mo"
"217","Brunei Darussalam","BRN","WPRO","High income",2023,31430.5,"6-59mo"
"218","Bulgaria","BGR","EURO","Upper middle income",2023,308120.5,"6-59mo"
"219","Burkina Faso","BFA","AFRO","Low income",2023,3351138.5,"6-59mo"
"220","Burundi","BDI","AFRO","Low income",2023,2167234,"6-59mo"
"221","Cambodia","KHM","WPRO","Lower middle income",2023,1816286.5,"6-59mo"
"222","Cameroon","CMR","AFRO","Lower middle income",2023,4393101,"6-59mo"
"223","Canada","CAN","AMRO","High income",2023,1879209.5,"6-59mo"
"224","Cape Verde","CPV","AFRO","Lower middle income",2023,39134,"6-59mo"
"225","Central African Republic","CAF","AFRO","Low income",2023,940906.5,"6-59mo"
"226","Chad","TCD","AFRO","Low income",2023,3546916.5,"6-59mo"
"227","Chile","CHL","AMRO","High income",2023,979814,"6-59mo"
"228","China","CHN","WPRO","Upper middle income",2023,58042454.5,"6-59mo"
"229","Colombia","COL","AMRO","Upper middle income",2023,3552710.5,"6-59mo"
"230","Comoros","COM","AFRO","Lower middle income",2023,114145,"6-59mo"
"231","Congo","COG","AFRO","Lower middle income",2023,885683,"6-59mo"
"232","Costa Rica","CRI","AMRO","Upper middle income",2023,284207,"6-59mo"
"233","Côte d'Ivoire","CIV","AFRO","Lower middle income",2023,4593840.5,"6-59mo"
"234","Croatia","HRV","EURO","High income",2023,168800,"6-59mo"
"235","Cuba","CUB","AMRO","Upper middle income",2023,504058.5,"6-59mo"
"236","Cyprus","CYP","EURO","High income",2023,74053,"6-59mo"
"237","Czech Republic","CZE","EURO","High income",2023,547420.5,"6-59mo"
"238","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2023,1711252.5,"6-59mo"
"239","Democratic Republic of the Congo","COD","AFRO","Low income",2023,19275876,"6-59mo"
"240","Denmark","DNK","EURO","High income",2023,308878.5,"6-59mo"
"241","Djibouti","DJI","EMRO","Lower middle income",2023,114506,"6-59mo"
"242","Dominica","DMA","AMRO","Upper middle income",2023,3655,"6-59mo"
"243","Dominican Republic","DOM","AMRO","Upper middle income",2023,1003937.5,"6-59mo"
"244","Ecuador","ECU","AMRO","Upper middle income",2023,1403735,"6-59mo"
"245","Egypt","EGY","EMRO","Lower middle income",2023,11781442,"6-59mo"
"246","El Salvador","SLV","AMRO","Upper middle income",2023,495945.5,"6-59mo"
"247","Equatorial Guinea","GNQ","AFRO","Upper middle income",2023,252431,"6-59mo"
"248","Eritrea","ERI","AFRO","Low income",2023,461112.5,"6-59mo"
"249","Estonia","EST","EURO","High income",2023,67121.5,"6-59mo"
"250","Eswatini","SWZ","AFRO","Lower middle income",2023,142151,"6-59mo"
"251","Ethiopia","ETH","AFRO","Low income",2023,19066530,"6-59mo"
"252","Fiji","FJI","WPRO","Upper middle income",2023,82656,"6-59mo"
"253","Finland","FIN","EURO","High income",2023,236635,"6-59mo"
"254","France","FRA","EURO","High income",2023,3396902.5,"6-59mo"
"255","Gabon","GAB","AFRO","Upper middle income",2023,331235,"6-59mo"
"256","Gambia","GMB","AFRO","Low income",2023,383558.5,"6-59mo"
"257","Georgia","GEO","EURO","Upper middle income",2023,242111.5,"6-59mo"
"258","Germany","DEU","EURO","High income",2023,3908606.5,"6-59mo"
"259","Ghana","GHA","AFRO","Lower middle income",2023,4225767,"6-59mo"
"260","Greece","GRC","EURO","High income",2023,397773,"6-59mo"
"261","Grenada","GRD","AMRO","Upper middle income",2023,6973.5,"6-59mo"
"262","Guatemala","GTM","AMRO","Upper middle income",2023,1878780.5,"6-59mo"
"263","Guinea","GIN","AFRO","Lower middle income",2023,2194570,"6-59mo"
"264","Guinea-Bissau","GNB","AFRO","Low income",2023,297298.5,"6-59mo"
"265","Guyana","GUY","AMRO","High income",2023,82916,"6-59mo"
"266","Haiti","HTI","AMRO","Lower middle income",2023,1235553,"6-59mo"
"267","Honduras","HND","AMRO","Lower middle income",2023,1137837,"6-59mo"
"268","Hungary","HUN","EURO","High income",2023,462049.5,"6-59mo"
"269","Iceland","ISL","EURO","High income",2023,23233,"6-59mo"
"270","India","IND","SEARO","Lower middle income",2023,114664656.5,"6-59mo"
"271","Indonesia","IDN","SEARO","Upper middle income",2023,22348674.5,"6-59mo"
"272","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2023,6201274.5,"6-59mo"
"273","Iraq","IRQ","EMRO","Upper middle income",2023,5560314,"6-59mo"
"274","Ireland","IRL","EURO","High income",2023,293493,"6-59mo"
"275","Israel","ISR","EURO","High income",2023,875433,"6-59mo"
"276","Italy","ITA","EURO","High income",2023,2068528.5,"6-59mo"
"277","Jamaica","JAM","AMRO","Upper middle income",2023,165501,"6-59mo"
"278","Japan","JPN","WPRO","High income",2023,4142119.5,"6-59mo"
"279","Jordan","JOR","EMRO","Lower middle income",2023,1163271,"6-59mo"
"280","Kazakhstan","KAZ","EURO","Upper middle income",2023,2126313,"6-59mo"
"281","Kenya","KEN","AFRO","Lower middle income",2023,7036696,"6-59mo"
"282","Kiribati","KIR","WPRO","Lower middle income",2023,16281,"6-59mo"
"283","Korea, Republic of","KOR","WPRO","High income",2023,1358267,"6-59mo"
"284","Kuwait","KWT","EMRO","High income",2023,266086,"6-59mo"
"285","Kyrgyzstan","KGZ","EURO","Lower middle income",2023,787604.5,"6-59mo"
"286","Lao People's Democratic Republic","LAO","WPRO","Lower middle income",2023,795693.5,"6-59mo"
"287","Latvia","LVA","EURO","High income",2023,87250.5,"6-59mo"
"288","Lebanon","LBN","EMRO","Lower middle income",2023,451904,"6-59mo"
"289","Lesotho","LSO","AFRO","Lower middle income",2023,266337.5,"6-59mo"
"290","Liberia","LBR","AFRO","Low income",2023,772931,"6-59mo"
"291","Libya","LBY","EMRO","Upper middle income",2023,644242.5,"6-59mo"
"292","Lithuania","LTU","EURO","High income",2023,127928,"6-59mo"
"293","Luxembourg","LUX","EURO","High income",2023,34188.5,"6-59mo"
"294","Macedonia, the former Yugoslav Republic of","MKD","EURO","Upper middle income",2023,95162.5,"6-59mo"
"295","Madagascar","MDG","AFRO","Low income",2023,4588132.5,"6-59mo"
"296","Malawi","MWI","AFRO","Low income",2023,3079812.5,"6-59mo"
"297","Malaysia","MYS","WPRO","Upper middle income",2023,2271174.5,"6-59mo"
"298","Maldives","MDV","SEARO","Upper middle income",2023,30641.5,"6-59mo"
"299","Mali","MLI","AFRO","Low income",2023,4158172,"6-59mo"
"300","Malta","MLT","EURO","High income",2023,22278,"6-59mo"
"301","Mauritania","MRT","AFRO","Lower middle income",2023,799916,"6-59mo"
"302","Mauritius","MUS","AFRO","Upper middle income",2023,60560.5,"6-59mo"
"303","Mexico","MEX","AMRO","Upper middle income",2023,10309425.5,"6-59mo"
"304","Micronesia, Federated States of","FSM","WPRO","Lower middle income",2023,12129.5,"6-59mo"
"305","Moldova, Republic of","MDA","EURO","Upper middle income",2023,178813,"6-59mo"
"306","Mongolia","MNG","WPRO","Lower middle income",2023,352992.5,"6-59mo"
"307","Montenegro","MNE","EURO","Upper middle income",2023,36788,"6-59mo"
"308","Morocco","MAR","EMRO","Lower middle income",2023,3179581.5,"6-59mo"
"309","Mozambique","MOZ","AFRO","Low income",2023,5668611.5,"6-59mo"
"310","Myanmar","MMR","SEARO","Lower middle income",2023,4431900,"6-59mo"
"311","Namibia","NAM","AFRO","Upper middle income",2023,409462.5,"6-59mo"
"312","Nepal","NPL","SEARO","Lower middle income",2023,2792075,"6-59mo"
"313","Netherlands","NLD","EURO","High income",2023,889979.5,"6-59mo"
"314","New Zealand","NZL","WPRO","High income",2023,298070,"6-59mo"
"315","Nicaragua","NIC","AMRO","Lower middle income",2023,657209,"6-59mo"
"316","Niger","NER","AFRO","Low income",2023,4667151.5,"6-59mo"
"317","Nigeria","NGA","AFRO","Lower middle income",2023,33526624.5,"6-59mo"
"318","Norway","NOR","EURO","High income",2023,276510.5,"6-59mo"
"319","Oman","OMN","EMRO","High income",2023,427938,"6-59mo"
"320","Pakistan","PAK","EMRO","Lower middle income",2023,31789413,"6-59mo"
"321","Panama","PAN","AMRO","High income",2023,359781,"6-59mo"
"322","Papua New Guinea","PNG","SEARO","Lower middle income",2023,1228693,"6-59mo"
"323","Paraguay","PRY","AMRO","Upper middle income",2023,679264,"6-59mo"
"324","Peru","PER","AMRO","Upper middle income",2023,2691868,"6-59mo"
"325","Philippines","PHL","WPRO","Lower middle income",2023,9602192,"6-59mo"
"326","Poland","POL","EURO","High income",2023,1772251,"6-59mo"
"327","Portugal","PRT","EURO","High income",2023,426132,"6-59mo"
"328","Qatar","QAT","EMRO","High income",2023,154510,"6-59mo"
"329","Romania","ROU","EURO","High income",2023,953141,"6-59mo"
"330","Russian Federation","RUS","EURO","Upper middle income",2023,7204654,"6-59mo"
"331","Rwanda","RWA","AFRO","Low income",2023,1878433.5,"6-59mo"
"332","Saint Lucia","LCA","AMRO","Upper middle income",2023,10209.5,"6-59mo"
"333","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2023,6371,"6-59mo"
"334","Samoa","WSM","WPRO","Lower middle income",2023,28283.5,"6-59mo"
"335","Sao Tome And Principe","STP","AFRO","Lower middle income",2023,30649,"6-59mo"
"336","Saudi Arabia","SAU","EMRO","High income",2023,2613210,"6-59mo"
"337","Senegal","SEN","AFRO","Lower middle income",2023,2451638.5,"6-59mo"
"338","Serbia","SRB","EURO","Upper middle income",2023,314990,"6-59mo"
"339","Seychelles","SYC","AFRO","High income",2023,8849.5,"6-59mo"
"340","Sierra Leone","SLE","AFRO","Low income",2023,1163735,"6-59mo"
"341","Singapore","SGP","WPRO","High income",2023,228712,"6-59mo"
"342","Slovakia","SVK","EURO","High income",2023,283055,"6-59mo"
"343","Slovenia","SVN","EURO","High income",2023,95872.5,"6-59mo"
"344","Solomon Islands","SLB","WPRO","Lower middle income",2023,103682,"6-59mo"
"345","Somalia","SOM","EMRO","Low income",2023,3411706.5,"6-59mo"
"346","South Africa","ZAF","AFRO","Upper middle income",2023,5887775.5,"6-59mo"
"347","South Sudan","SSD","AFRO","Low income",2023,1483635.5,"6-59mo"
"348","Spain","ESP","EURO","High income",2023,1762937.5,"6-59mo"
"349","Sri Lanka","LKA","SEARO","Lower middle income",2023,1635055.5,"6-59mo"
"350","Sudan","SDN","EMRO","Low income",2023,7645811.5,"6-59mo"
"351","Suriname","SUR","AMRO","Upper middle income",2023,53330.5,"6-59mo"
"352","Sweden","SWE","EURO","High income",2023,566381.5,"6-59mo"
"353","Switzerland","CHE","EURO","High income",2023,434031.5,"6-59mo"
"354","Syrian Arab Republic","SYR","EMRO","Low income",2023,2272871.5,"6-59mo"
"355","Tajikistan","TJK","EURO","Lower middle income",2023,1333568,"6-59mo"
"356","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2023,10810399.5,"6-59mo"
"357","Thailand","THA","SEARO","Upper middle income",2023,3102327.5,"6-59mo"
"358","Timor-Leste","TLS","SEARO","Lower middle income",2023,156933,"6-59mo"
"359","Togo","TGO","AFRO","Low income",2023,1342220.5,"6-59mo"
"360","Tonga","TON","WPRO","Upper middle income",2023,11805,"6-59mo"
