codes,country,country_altern,cluster_name,in_cluster
NZL,New Zealand,New Zealand,Oceania-Melanesia-Polynesia,FALSE
OMN,Oman,Oman,Asia-Europe,TRUE
PAK,Pakistan,Pakistan,Asia-Europe,TRUE
PAN,Panama,Panama,Southern America,TRUE
PER,Peru,Peru,Northern America,TRUE
PHL,Philippines,Philippines,Eastern and Southern Asia,TRUE
PNG,Papua New Guinea,Papua New Guinea,Eastern and Southern Asia,TRUE
POL,Poland,Poland,Europe,TRUE
PRI,Puerto Rico,Puerto Rico,Northern America,FALSE
PRK,North Korea,Dem. People's Republic of Korea,Eastern and Southern Asia,FALSE
PRT,Portugal,Portugal,Europe,FALSE
PRY,Paraguay,Paraguay,Southern America,TRUE
PSE,Palestinian Territories,State of Palestine,Asia-Europe,FALSE
QAT,Qatar,Qatar,Asia-Europe,TRUE
ROU,Romania,Romania,Europe,FALSE
RUS,Russia,Russian Federation,Eastern and Southern Asia,TRUE
RWA,Rwanda,Rwanda,Asia-Europe,TRUE
SAU,Saudi Arabia,Saudi Arabia,Asia-Europe,FALSE
SDN,Sudan,Sudan,Africa,FALSE
SEN,Senegal,Senegal,Africa,TRUE
SGP,Singapore,Singapore,Eastern and Southern Asia,TRUE
SLB,Solomon Islands,Solomon Islands,Oceania-Melanesia-Polynesia,FALSE
SLE,Sierra Leone,Sierra Leone,Africa,TRUE
SLV,El Salvador,El Salvador,Southern America,TRUE
SRB,Serbia,Serbia,Europe,FALSE
SSD,South Sudan,South Sudan,Africa,FALSE
STP,São Tomé & Príncipe,Sao Tome and Principe,Africa,FALSE
SUR,Suriname,Suriname,Southern America,TRUE
SVK,Slovakia,Slovakia,Europe,TRUE
SVN,Slovenia,Slovenia,Europe,TRUE
SWE,Sweden,Sweden,Europe,FALSE
SWZ,Eswatini,Swaziland,Africa,FALSE
SYR,Syria,Syrian Arab Republic,Asia-Europe,FALSE
TCD,Chad,Chad,Africa,FALSE
TGO,Togo,Togo,Africa,TRUE
THA,Thailand,Thailand,Eastern and Southern Asia,TRUE
TJK,Tajikistan,Tajikistan,Asia-Europe,FALSE
TKM,Turkmenistan,Turkmenistan,Asia-Europe,FALSE
TLS,Timor-Leste,East Timor,Eastern and Southern Asia,FALSE
TON,Tonga,Tonga,Oceania-Melanesia-Polynesia,FALSE
TTO,Trinidad & Tobago,Trinidad and Tobago,Southern America,FALSE
TUN,Tunisia,Tunisia,Europe,FALSE
TUR,Turkey,Türkiye,Asia-Europe,TRUE
TZA,Tanzania,United Republic of Tanzania,Africa,TRUE
UGA,Uganda,Uganda,Africa,TRUE
UKR,Ukraine,Ukraine,Europe,TRUE
URY,Uruguay,Uruguay,Southern America,TRUE
USA,United States,United States of America,Northern America,TRUE
UZB,Uzbekistan,Uzbekistan,Asia-Europe,FALSE
VCT,St. Vincent & Grenadines,Saint Vincent and the Grenadines,Southern America,FALSE
VEN,Venezuela,Venezuela (Bolivarian Republic of),Southern America,TRUE
VNM,Vietnam,Viet Nam,Eastern and Southern Asia,TRUE
VUT,Vanuatu,Vanuatu,Oceania-Melanesia-Polynesia,FALSE
WSM,Samoa,Samoa,Oceania-Melanesia-Polynesia,FALSE
YEM,Yemen,Yemen,Asia-Europe,FALSE
ZAF,South Africa,South Africa,Africa,TRUE
ZMB,Zambia,Zambia,Africa,TRUE
ZWE,Zimbabwe,Zimbabwe,Africa,FALSE
JPN,Japan,Japan,Eastern and Southern Asia,FALSE
TWN,"China, Taiwan Province of China","China, Taiwan Province of China",Eastern and Southern Asia,FALSE
SOM,Somalia,Somalia,Africa,FALSE
XKX,Kosovo (under UNSC res. 1244),Kosovo,Europe,FALSE
